classe;ordem;familia;genero;nome_cientifico;nome_comum;categoria;criterio
Mammalia;Primates;Pitheciidae;Callicebus;Callicebus nigrifrons;Guigó, Sauá;Menos Preocupante;NA
Mammalia;Primates;Pitheciidae;Callicebus;Callicebus personatus;Guigó, Guigó-mascarado, Sauá-de-cara-preta;Vulnerável;C2a(i)
Mammalia;Primates;Callitrichidae;Callimico;Callimico goeldii;Calimico, Macaco-de-Goeldi, Mico-preto, Sagui-de-Goeldi, Soim-preto, Taboqueiro;Menos Preocupante;NA
Mammalia;Rodentia;Echimyidae;Callistomys;Callistomys pictus;Rato-do-cacau, Saruê-beiju, Saruê-beju;Em Perigo;B1ab(i,ii,iii)
Mammalia;Primates;Callitrichidae;Callithrix;Callithrix aurita;sagui-caveirinha, Sagui-da-serra-escuro;Em Perigo;A4cde
Mammalia;Primates;Callitrichidae;Callithrix;Callithrix flaviceps;Sagui-da-serra, Sagui-da-serra-claro, Sagui-taquara;Em Perigo;C1+2a(i)
Mammalia;Primates;Callitrichidae;Callithrix;Callithrix geoffroyi;Sagui-da-cara-branca;Menos Preocupante;NA
Mammalia;Primates;Callitrichidae;Callithrix;Callithrix jacchus;mico, mico-estrela, nico, sagui, sagui-comum, sagui-de-tufo-branco, Sagui-do-nordeste;Menos Preocupante;NA
Mammalia;Primates;Callitrichidae;Callithrix;Callithrix kuhlii;Sagui-de-wied;Quase Ameaçada;NA
Mammalia;Primates;Callitrichidae;Callithrix;Callithrix penicillata;Mico-estrela, Sagui-de-tufos-pretos;Menos Preocupante;NA
Mammalia;Didelphimorphia;Didelphidae;Caluromys;Caluromys lanatus;Cuíca-lanosa, Gambazinho, Mucura-xixica;Menos Preocupante;NA
Mammalia;Didelphimorphia;Didelphidae;Caluromys;Caluromys philander;Cuíca, Cuíca-lanosa, Mucura-xixica;Menos Preocupante;NA
Mammalia;Didelphimorphia;Didelphidae;Caluromysiops;Caluromysiops irrupta;Cuíca, Cuíca-amazônica, Cuíca-de-colete;Menos Preocupante;NA
Aves;Cariamiformes;Cariamidae;Cariama;Cariama cristata;seriema;Menos Preocupante;NA
Mammalia;Rodentia;Echimyidae;Carterodon;Carterodon sulcidens;"Rato-do-mato; Rato-de-espinho";Dados Insuficientes;NA
Mammalia;Rodentia;Caviidae;Cavia;Cavia aperea;Preá;Menos Preocupante;NA
Mammalia;Rodentia;Caviidae;Cavia;Cavia fulgida;Preá;Menos Preocupante;NA
Mammalia;Rodentia;Caviidae;Cavia;Cavia intermedia;Preá, Preá-de-Moleques-do-Sul;Criticamente em Perigo;"B2ab(iii); D"
Mammalia;Rodentia;Caviidae;Cavia;Cavia magna;Apereá de dorso oscuro, Preá;Quase Ameaçada;NA
Mammalia;Primates;Callitrichidae;Cebuella;Cebuella niveiventris;Mico-leãozinho, Sagui-leãozinho, Sagui-pigmeu;Menos Preocupante;NA
Mammalia;Primates;Callitrichidae;Cebuella;Cebuella pygmaea;Mico-leãozinho, Sagui-leãozinho, Sagui-pigmeu;Menos Preocupante;NA
Mammalia;Primates;Cebidae;Cebus;Cebus albifrons;Caiarara;Menos Preocupante;NA
Mammalia;Primates;Cebidae;Cebus;Cebus kaapori;caiarara, caiarara ka’apor, macaco-cara-branca, piticó;Criticamente em Perigo;A2acd
Mammalia;Primates;Cebidae;Cebus;Cebus olivaceus;Caiarara, Cairara, Macaco-prego;Menos Preocupante;NA
Mammalia;Primates;Cebidae;Cebus;Cebus unicolor;Caiarara;Menos Preocupante;NA
Mammalia;Primates;Cebidae;Cebus;Cebus yuracus;Caiarara;Menos Preocupante;NA
Mammalia;Carnivora;Canidae;Cerdocyon;Cerdocyon thous;Cachorro do mato, fusquinho, graxaim, graxaim do mato, guancito, guaraxaim, guaraxo, lobete, lobinho, mata-virgem, rabo-fofo, raposa, raposão, raposinha-do-mato;Menos Preocupante;NA
Mammalia;Rodentia;Erethizontidae;Chaetomys;Chaetomys subspinosus;Bristle-spined Porcupine, Gandú, Ouriço-preto;Vulnerável;B2ab(ii,iii)
Mammalia;Primates;Pitheciidae;Cheracebus;Cheracebus lucifer;Zogue-zogue;Menos Preocupante;NA
Mammalia;Primates;Pitheciidae;Cheracebus;Cheracebus lugens;Sauá-de-colar, zogue-zogue;Menos Preocupante;NA
Mammalia;Primates;Pitheciidae;Cheracebus;Cheracebus purinus;sauá-de-colar, Zogue-zogue;Menos Preocupante;NA
Mammalia;Primates;Pitheciidae;Cheracebus;Cheracebus regulus;Zogue-zogue;Menos Preocupante;NA
Mammalia;Didelphimorphia;Didelphidae;Chironectes;Chironectes minimus;Cassaco d´água, Cuíca-d’água, Raposa-d’água;Menos Preocupante;NA
Mammalia;Primates;Pitheciidae;Chiropotes;Chiropotes albinasus;Cuxiú-de-nariz-vermelho;Menos Preocupante;NA
Mammalia;Primates;Pitheciidae;Chiropotes;Chiropotes chiropotes;Cuxiú;Menos Preocupante;NA
Mammalia;Primates;Pitheciidae;Chiropotes;Chiropotes sagulatus;Cuxiú;Menos Preocupante;NA
Mammalia;Primates;Pitheciidae;Chiropotes;Chiropotes satanas;cuxiú, Cuxiú-preto, cuxuí, macaco-preto;Criticamente em Perigo;A2cd
Mammalia;Primates;Pitheciidae;Chiropotes;Chiropotes utahickae;Cuxiú;Vulnerável;A2c
Mammalia;Pilosa;Megalonychidae;Choloepus;Choloepus didactylus;Preguiça-real, Unau;Menos Preocupante;NA
Mammalia;Pilosa;Megalonychidae;Choloepus;Choloepus hoffmanni;preguiça-real;Quase Ameaçada;NA
Mammalia;Carnivora;Canidae;Chrysocyon;Chrysocyon brachyurus;Guará, Lobão, Lobo, Lobo-de-crina, Lobo-de-juba, Lobo-guará, Lobo-vermelho;Vulnerável;C1
Mammalia;Rodentia;Echimyidae;Clyomys;Clyomys laticeps;Broad-headed Spiny-rat, Rato-do-espinho;Menos Preocupante;NA
Mammalia;Rodentia;Erethizontidae;Coendou;Coendou baturitensis;Baturite Porcupine, Porco-espinho-de-baturité;Menos Preocupante;NA
Mammalia;Rodentia;Erethizontidae;Coendou;Coendou bicolor;Bicolor-spined Porcupine, Ouriço-cacheiro;Menos Preocupante;NA
Mammalia;Rodentia;Erethizontidae;Coendou;Coendou ichillus;Coandu-pigmeu;Menos Preocupante;NA
Mammalia;Rodentia;Erethizontidae;Coendou;Coendou insidiosus;Bahian Hairy Dwarf Porcupine, Ouriço-cacheiro;Menos Preocupante;NA
Mammalia;Rodentia;Erethizontidae;Coendou;Coendou longicaudatus;ouriço-de-cauda-longa;Menos Preocupante;NA
Mammalia;Rodentia;Erethizontidae;Coendou;Coendou melanurus;Black-tailed Hairy Dwarf Porcupine, Ouriço-cacheiro;Menos Preocupante;NA
Mammalia;Rodentia;Erethizontidae;Coendou;Coendou nycthemera;Black Dwarf Porcupine, Koopman's Porcupine, Ouriço, Porco-espinho;Menos Preocupante;NA
Mammalia;Rodentia;Erethizontidae;Coendou;Coendou prehensilis;NA;Quase Ameaçada;NA
Mammalia;Rodentia;Erethizontidae;Coendou;Coendou roosmalenorum;Ouriço-cacheiro, Porcupine, Roosmalen's Dwarf Porcupine, Roosmalen’s Hairy Dwarf, Roosmalen's Porcupine;Menos Preocupante;NA
Mammalia;Rodentia;Erethizontidae;Coendou;Coendou speratus;Coandu-mirim, Ouriço-cacheiro;Em Perigo;B1ab(iii)
Mammalia;Rodentia;Erethizontidae;Coendou;Coendou spinosus;Ouriço-cacheiro, Paraguay Hairy Dwarf Porcupine, Porcupine, Spiny Tree Porcupine;Menos Preocupante;NA
Mammalia;Carnivora;Mephitidae;Conepatus;Conepatus chinga;cangambá, gambá, zorrilho;Menos Preocupante;NA
Mammalia;Carnivora;Mephitidae;Conepatus;Conepatus semistriatus;cangambá, gambá, jatitataca, jirita, tacaca, ticaca, zorrilho;Menos Preocupante;NA
Aves;Galliformes;Cracidae;Crax;Crax alector;mutum-poranga;Menos Preocupante;NA
Aves;Galliformes;Cracidae;Crax;Crax blumenbachii;mutum-de-bico-vermelho, mutum-do-sudeste;Em Perigo;C2a(i)
Aves;Galliformes;Cracidae;Crax;Crax fasciolata;mutum, mutum-de-penacho, mutum-pinima, mutum-poranga;Menos Preocupante;NA
Aves;Galliformes;Cracidae;Crax;Crax globulosa;mutum-açu, mutum-de-assovio, mutum-de-fava, mutum-fava, mutum-piurí;Em Perigo;A3cd+4cd
Mammalia;Didelphimorphia;Didelphidae;Cryptonanus;Cryptonanus agricolai;Catita, Guaiquica;Menos Preocupante;NA
Mammalia;Didelphimorphia;Didelphidae;Cryptonanus;Cryptonanus chacoensis;Catita, Guaiquica;Menos Preocupante;NA
Mammalia;Didelphimorphia;Didelphidae;Cryptonanus;Cryptonanus guahybae;Catita, Guaiquica;Menos Preocupante;NA
Mammalia;Didelphimorphia;Didelphidae;Cryptonanus;Cryptonanus unduaviensis;NA;Menos Preocupante;NA
Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus atrocapillus;inhambu-de-coroa-preta;Menos Preocupante;NA
Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus bartletti;inhambu-anhangaí;Menos Preocupante;NA
Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus brevirostris;inhambu-carijó;Menos Preocupante;NA
Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus cinereus;Inambu-pixuna;Menos Preocupante;NA
Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus duidae;inhambu-de-pé-cinza;Menos Preocupante;NA
Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus erythropus;inhambu-de-perna-vermelha;Menos Preocupante;NA
Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus noctivagus;jaó-do-sul;Menos Preocupante;NA
Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus obsoletus;inhambuguaçu;Menos Preocupante;NA
Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus parvirostris;inambu-chororó;Menos Preocupante;NA
Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus soui;tururim;Menos Preocupante;NA
Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus strigulosus;inambu-relógio;Menos Preocupante;NA
Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus tataupa;inambu-chintã;Menos Preocupante;NA
Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus undulatus;jaó, juó, macucau, macucaua, macucauá, sururina;Menos Preocupante;NA
Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus variegatus;inhambu-anhangá;Menos Preocupante;NA
Aves;Tinamiformes;Tinamidae;Crypturellus;Crypturellus zabele;zabelé;Vulnerável;A2cd
Mammalia;Rodentia;Cuniculidae;Cuniculus;Cuniculus paca;Paca;Menos Preocupante;NA
Mammalia;Pilosa;Cyclopedidae;Cyclopes;Cyclopes didactylus;Tamanduá-cigarra, Tamanduá-i, Tamanduaí, Tamanduá-seda;Menos Preocupante;NA
Mammalia;Pilosa;Cyclopedidae;Cyclopes;Cyclopes ida;Tamanduaí;Menos Preocupante;NA
Mammalia;Pilosa;Cyclopedidae;Cyclopes;Cyclopes thomasi;Tamanduaí;Menos Preocupante;NA
Mammalia;Pilosa;Cyclopedidae;Cyclopes;Cyclopes xinguensis;Tamanduaí;Menos Preocupante;NA
Mammalia;Rodentia;Echimyidae;Dactylomys;Dactylomys boliviensis;Bolivian Bamboo Rat, Rato-do-bambu, Toró;Menos Preocupante;NA
Mammalia;Rodentia;Echimyidae;Dactylomys;Dactylomys dactylinus;Amazon Bamboo Rat, Rato-do-bambu, Toró;Menos Preocupante;NA
Mammalia;Rodentia;Dasyproctidae;Dasyprocta;Dasyprocta azarae;Azara's Agouti, Cutia;Menos Preocupante;NA
Mammalia;Rodentia;Dasyproctidae;Dasyprocta;Dasyprocta catrinae;NA;Dados Insuficientes;NA
Mammalia;Rodentia;Dasyproctidae;Dasyprocta;Dasyprocta croconota;Amazon Red-rumped Agouti, Cutia, Orange Agouti;Menos Preocupante;NA
Mammalia;Rodentia;Dasyproctidae;Dasyprocta;Dasyprocta fuliginosa;Black Agouti, Cutia;Menos Preocupante;NA
Mammalia;Rodentia;Dasyproctidae;Dasyprocta;Dasyprocta iacki;Cutia, Cutia-de-garupa-laranja, Red-rumped Agouti;Menos Preocupante;NA
Mammalia;Rodentia;Dasyproctidae;Dasyprocta;Dasyprocta leporina;Cutia;Menos Preocupante;NA
Mammalia;Rodentia;Dasyproctidae;Dasyprocta;Dasyprocta nigriclunis;Cutia, Highland Black-rumped Agouti;Menos Preocupante;NA
Mammalia;Rodentia;Dasyproctidae;Dasyprocta;Dasyprocta prymnolopha;Black-rumped Agouti, Cutia;Menos Preocupante;NA
Mammalia;Cingulata;Dasypodidae;Dasypus;Dasypus beniensis;Tatu-quinze-quilos;Menos Preocupante;NA
Mammalia;Cingulata;Dasypodidae;Dasypus;Dasypus kappleri;Tatu-açu, Tatu-canastra, Tatu-quinze-quilos, Tatu-tinga, Tatu-verdadeiro;Menos Preocupante;NA
Mammalia;Cingulata;Dasypodidae;Dasypus;Dasypus novemcinctus;Tatu-asa-branca, Tatuetê, Tatu-folha, Tatu-galinha, Tatu-nove-bandas, Tatu-veado, Tatu-verdadeiro;Menos Preocupante;NA
Mammalia;Cingulata;Dasypodidae;Dasypus;Dasypus pastasae;Tatu-quinze-quilos;Menos Preocupante;NA
Mammalia;Cingulata;Dasypodidae;Dasypus;Dasypus septemcinctus;Muleta, Mulita, Tatu-bolinha, Tatu-china, Tatu-í, Tatu-mirim, Tatu-mula;Menos Preocupante;NA
Mammalia;Didelphimorphia;Didelphidae;Didelphis;Didelphis albiventris;Gambá-de-orelha-branca, Mucura, Saruê;Menos Preocupante;NA
Mammalia;Didelphimorphia;Didelphidae;Didelphis;Didelphis aurita;Gambá, Gambá-de-orelha-preta;Menos Preocupante;NA
Mammalia;Didelphimorphia;Didelphidae;Didelphis;Didelphis imperfecta;Gambá, mucura;Menos Preocupante;NA
Mammalia;Didelphimorphia;Didelphidae;Didelphis;Didelphis marsupialis;Gambá-de-orelha-preta, Mucura;Menos Preocupante;NA
Mammalia;Rodentia;Dinomyidae;Dinomys;Dinomys branickii;Paca de rabo, Pacarana;Menos Preocupante;NA
Mammalia;Rodentia;Echimyidae;Echimys;Echimys chrysurus;Rato-da-árvore, White-faced Spiny Tree-rat, White-faced Tree Rat;Menos Preocupante;NA
Mammalia;Rodentia;Echimyidae;Echimys;Echimys vieirai;Rato-da-árvore, Vieira’s Spiny Tree-rat;Menos Preocupante;NA
Mammalia;Carnivora;Mustelidae;Eira;Eira barbara;Irara, papa-mel;Menos Preocupante;NA
Mammalia;Cingulata;Dasypodidae;Euphractus;Euphractus sexcinctus;Tatu-papa-defunto, Tatu-peba, Tatu-peludo, Tatu-testa-de-ferro;Menos Preocupante;NA
Mammalia;Rodentia;Echimyidae;Euryzygomatomys;Euryzygomatomys spinosus;Guiara, Guirá, Rata guira, Ratón espinoso;Menos Preocupante;NA
Mammalia;Rodentia;Caviidae;Galea;Galea spixii;Preá;Menos Preocupante;NA
Mammalia;Carnivora;Mustelidae;Galictis;Galictis cuja;aracambé, cachorrinho ao, furão, furão pequeno;Menos Preocupante;NA
Mammalia;Carnivora;Mustelidae;Galictis;Galictis vittata;furão grande, furão maior;Menos Preocupante;NA
Mammalia;Didelphimorphia;Didelphidae;Glironia;Glironia venusta;Cuíca;Menos Preocupante;NA
Mammalia;Didelphimorphia;Didelphidae;Gracilinanus;Gracilinanus agilis;Catita, Cuíca, Cuiquinha, Guaiquica;Menos Preocupante;NA
Mammalia;Didelphimorphia;Didelphidae;Gracilinanus;Gracilinanus emiliae;Catita, Cuíca, Guaiquica;Menos Preocupante;NA
Mammalia;Didelphimorphia;Didelphidae;Gracilinanus;Gracilinanus microtarsus;Catita, Cuíca, Cuica-graciosa, Guaiquica;Menos Preocupante;NA
Mammalia;Didelphimorphia;Didelphidae;Gracilinanus;Gracilinanus peruanus;NA;Menos Preocupante;NA
Mammalia;Rodentia;Sciuridae;Guerlinguetus;Guerlinguetus aestuans;Caxinguelê, Esquilo, Guianan Squirrel, Quatipuru;Menos Preocupante;NA
Mammalia;Rodentia;Sciuridae;Guerlinguetus;Guerlinguetus brasiliensis;Esquilo, Quatipuru-pequeno, Serelepe;Menos Preocupante;NA
Mammalia;Rodentia;Sciuridae;Hadrosciurus;Hadrosciurus ignitus;Esquilo;Menos Preocupante;NA
Mammalia;Rodentia;Sciuridae;Hadrosciurus;Hadrosciurus igniventris;Esquilo, Quatipuru, Southern Amazon Red Squirrel;Menos Preocupante;NA
Mammalia;Rodentia;Sciuridae;Hadrosciurus;Hadrosciurus pyrrhinus;Esquilo, Junín Red Squirrel, Quatipuru;Menos Preocupante;NA
Mammalia;Rodentia;Sciuridae;Hadrosciurus;Hadrosciurus spadiceus;Esquilo, Quatipuru, Southern Amazon Red Squirrel;Menos Preocupante;NA
Mammalia;Carnivora;Felidae;Herpailurus;Herpailurus yagouaroundi;Gato-azul, Gato-mourisco, Gato-vermelho, Jaguarundi;Vulnerável;A4bcd
Mammalia;Rodentia;Caviidae;Hydrochoerus;Hydrochoerus hydrochaeris;Capivara;Menos Preocupante;NA
Mammalia;Didelphimorphia;Didelphidae;Hyladelphys;Hyladelphys kalinowskii;Catita, Guaiquica, Peru gracile mouse opossum;Menos Preocupante;NA
Mammalia;Rodentia;Echimyidae;Isothrix;Isothrix bistriata;Rato-coró, Yellow-crowned Brush-tailed Rat;Menos Preocupante;NA
Mammalia;Rodentia;Echimyidae;Isothrix;Isothrix negrensis;Rato-coró, Rio Negro Brush-tailed Rat;Menos Preocupante;NA
Mammalia;Rodentia;Echimyidae;Isothrix;Isothrix pagurus;Plain Brush-tailed Rat, Rato-coró;Menos Preocupante;NA
Mammalia;Rodentia;Echimyidae;Isothrix;Isothrix sinnamariensis;Rato coró, Rato do mato;Menos Preocupante;NA
Mammalia;Rodentia;Echimyidae;Kannabateomys;Kannabateomys amblyonyx;Atlantic Bamboo Rat, Rato-da-taquara;Menos Preocupante;NA
Mammalia;Rodentia;Caviidae;Kerodon;Kerodon acrobata;Climbing Cavy, Mocó;Vulnerável;B1ab(iii)
Mammalia;Rodentia;Caviidae;Kerodon;Kerodon rupestris;Mocó, Rock cavy;Vulnerável;A2d
Mammalia;Primates;Atelidae;Lagothrix;Lagothrix lagothricha cana;Macaco-barrigudo;Em Perigo;A4cd
Mammalia;Primates;Atelidae;Lagothrix;Lagothrix lagothricha lagothricha;Macaco-barrigudo;Vulnerável;A4d
Mammalia;Primates;Atelidae;Lagothrix;Lagothrix lagothricha poeppigii;Macaco-barrigudo;Vulnerável;A4cd
Mammalia;Primates;Callitrichidae;Leontocebus;Leontocebus cruzlimai;Sagui-da-cara-suja, Sauim vermelho;Menos Preocupante;NA
Mammalia;Primates;Callitrichidae;Leontocebus;Leontocebus fuscicollis;Sagui-de-cara-suja;Menos Preocupante;NA
Mammalia;Primates;Callitrichidae;Leontocebus;Leontocebus fuscus;Sagui-de-cara-suja;Menos Preocupante;NA
Mammalia;Primates;Callitrichidae;Leontocebus;Leontocebus nigricollis;Sauim;Menos Preocupante;NA
Mammalia;Primates;Callitrichidae;Leontocebus;Leontocebus weddelli;Sagüi, Sagui-preto, Sauim, Soim, Soim preto, Soim vermelho;Menos Preocupante;NA
Mammalia;Primates;Callitrichidae;Leontopithecus;Leontopithecus caissara;Mico-leão-da-cara-preta;Em Perigo;"C2a(i); D"
Mammalia;Primates;Callitrichidae;Leontopithecus;Leontopithecus chrysomelas;Mico-leão-da-cara-dourada;Em Perigo;C2a(i)
Mammalia;Primates;Callitrichidae;Leontopithecus;Leontopithecus chrysopygus;Mico-leão-preto, Sauim-preto;Em Perigo;B2ab(ii,iii,v)
Mammalia;Primates;Callitrichidae;Leontopithecus;Leontopithecus rosalia;Mico-leão-dourado, Sauim-piranga;Em Perigo;B2ab(iii)
Mammalia;Carnivora;Felidae;Leopardus;Leopardus geoffroyi;Gato-do-mato, Gato-do-mato-grande;Vulnerável;A4de
Mammalia;Carnivora;Felidae;Leopardus;Leopardus guttulus;Gato-do-mato;Vulnerável;C1
Mammalia;Carnivora;Felidae;Leopardus;Leopardus pardalis;Canguçu, Gato-do-mato-grande, Jaguatirica, Maracajá, meia-malha, Oncinha;Menos Preocupante;NA
Mammalia;Carnivora;Felidae;Leopardus;Leopardus tigrinus;Gato-do-mato, Gato-maracajá, gato-maracajá-mirim, Pintadinho;Em Perigo;A2b
Mammalia;Carnivora;Felidae;Leopardus;Leopardus wiedii;Gato-do-mato, Gato-maracajá, Gato-peludo, Maracajá-peludo;Vulnerável;A4b
Mammalia;Rodentia;Echimyidae;Lonchothrix;Lonchothrix emiliae;Rato-de-espinho, Tuft-tailed Spiny Tree-rat;Menos Preocupante;NA
Mammalia;Carnivora;Mustelidae;Lontra;Lontra longicaudis;lobinho-de-rio, Lontra, lontra neotropical, lontrinha;Menos Preocupante;NA
Mammalia;Didelphimorphia;Didelphidae;Lutreolina;Lutreolina crassicaudata;Cuíca de cauda grossa, Cuíca-marrom;Menos Preocupante;NA
Mammalia;Carnivora;Canidae;Lycalopex;Lycalopex gymnocercus;Cachorro do Campo, graxaim-do-campo, raposa-do-campo, Rasposa do Mato;Menos Preocupante;NA
Mammalia;Carnivora;Canidae;Lycalopex;Lycalopex vetulus;Raposa-do-campo, raposinha, raposinha-do-campo;Vulnerável;A2c+3cd
